"","id","sex1","cohort1","childeth","childrace","momeduc","dadeduc","income","foodstamp","houseassist","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11","edcon","y1ncT1","y1ncT2","y2ncT1","y2ncT2","y1dqdwfT1","y1dqdwfT2","y2dqdwfT1","y2dqdwfT2","age12","y1ef","RV_Scaled","BD_Scaled","In_Scaled","FSIQ","Percentile","PALS","y1temaraw","y1temaper","y1temascore","y2ef","y2temaraw","y2temaper","y2temascore","y1enumT1","y1enumT2","y1gnT1","y1gnT2","y1ptxT1","y1ptxT2","y1mbT1","y1mbT2","y1dqdaccT1","y1dqdaccT2","y1ocscoreT1","y1ocaccT1","y1ocscoreT2","y1ocaccT2","y1vcT1","y1vcT2","y1nvcT1","y1nvcT2","y1nrT1","y1nrT2","y1ck_allT1","y1ck_corT1","y1ck_rlT1","y1ck_peT1","y1ck_eT1","y1ck_allT2","y1ck_corT2","y1ck_rlT2","y1ck_peT2","y1ck_eT2","y1cqdT1","y1cqdT2","y2enumT1","y2enumT2","y2gnT1","y2gnT2","y2ptxT1","y2ptxT2","y2mbT1","y2mbT2","y2dqdaccT1","y2dqdaccT2","y2ocscoreT1","y2ocaccT1","y2ocscoreT2","y2ocaccT2","y2vcT1","y2vcT2","y2nvcT1","y2nvcT2","y2nrT1","y2nrT2","y2ck_allT1","y2ck_corT1","y2ck_rlT1","y2ck_peT1","y2ck_eT1","y2ck_allT2","y2ck_corT2","y2ck_rlT2","y2ck_peT2","y2ck_eT2","y2cqdT1","y2cqdT2"
"146",794,0,1,"2","5","4","5","3","0","0",45,"46","47","48","50","51","57","58","60","61","62",2,"16.66666667","66.66666667","50","83.33333333","0.9","0.59","0.52","0.26","63",48,15,16,14,132,98,22,8,21,88,54,11,12,82,6,10,3,3,2.3525,2.6525,62.5,75,66.67,75,1.66,37.64172336,2.08,47.16044051,4,8,25,45.45454546,5,7,75,100,100,100,0,66.66666667,100,100,66.66666667,0,70.83333333,87.5,14,12,6,5,2.0175,2.865,100,100,80,93.33,2.72,61.67800454,3.58,81.17913832,8,12,41.66666667,25,8,9,75,100,100,66.66666667,33.33333333,66.66666667,66.66666667,100,100,0,64.28571429,75
"147",797,1,1,NA,"5","5","5","3","0","0",41,"42","43","45","46","47","53","54","57","58","59",2,NA,"25","33.33333333","66.66666667","2.13",NA,NA,"0.21","59",19,10,13,11,107,68,11,5,21,88,52,10,23,89,10,4,2,1,1.335,1.755,37.5,87.5,62.5,33.676,2.41,54.64852608,0.382,16.945,5,10,24.767,17.369,1,5,75,100,100,100,0,66.66666667,66.66666667,100,100,0,41.66666667,45.83333333,12,14,4,5,1.9825,1.99,75,100,46.67,96.67,3.61,81.85941043,1.47,33.33333333,9,12,8.333333333,8.333333333,9,11,58.33333333,66.66666667,66.66666667,33.33333333,66.66666667,54.54545455,50,66.66666667,33.33333333,66.66666667,82.14285714,92.85714286
"148",799,0,2,"2","5","3.5","2","1","1","0",45,"46","50","51","51","52","58","58","59","61","61",1,"100","83.33333333","83.33333333","100","0.21",NA,"0.21","0.03","63",15,16,7,13,114,82,23,13,58,103,54,24,63,105,3,20,6,5,1.7675,2.665,50,87.5,93.33,33.33,2.28,51.70068027,1.5,34.01360544,15,22,8.333333333,41.66666667,4,11,50,33.33333333,100,66.66666667,0,75,100,100,100,0,75,83.33333333,20,20,6,6,2.27,3.2225,62.5,75,96.67,100,2.83,64.16540704,2.22,50.33470093,35,40,50,50,11,13,75,100,100,100,0,75,66.66666667,66.66666667,66.66666667,100,87.5,91.66666667
"149",800,1,1,"2","5","3","3","2","1","0",49,"50","51","53","54","55","61","62","64","66","66",1,NA,NA,"83.33333333","83.33333333","2.01",NA,"3.34","0.04","67",38,10,6,8,85,16,3,5,6,77,42,11,6,77,1,2,3,4,1.8025,1.7675,87.5,27.01,55,64.515,3.24,73.46938776,2.529,94.902,1,2.081,8.333333333,16.66666667,0,0,72.72727273,100,100,66.66666667,0,75,100,100,100,0,29.16666667,54.16666667,6,6,4,6,2.0675,3.535,87.5,100,53.33,96.67,4.41,100,2.94,66.66666667,5,5,25,50,3,3,66.66666667,66.66666667,100,100,0,75,66.66666667,100,66.66666667,66.66666667,75,85.71428571
"150",805,0,2,"1",NA,"3","3","2","0","0",42,"42","45","46","48","48","53","54","55","58","58",1,"33.33333333","66.66666667","50","50","2.7",NA,"0.2","0.46","60",11,8,9,5,82,12,4,8,30,92,42,17,47,99,1,10,1,4,1.745,2.6025,75,62.5,56.67,40,1.55,35.14739229,1.58,35.8276644,2.867,12.491,25,33.33333333,6,7,75,100,100,100,0,41.66666667,33.33333333,66.66666667,33.33333333,33.33333333,79.16666667,33.33333333,10,10,6,6,2.33,2.915,75,62.5,96.67,83.33,3.61,81.85057223,0.83,18.81882963,10,13,75,25,8,8,91.66666667,100,100,100,66.66666667,100,100,100,100,100,79.16666667,87.5
"151",809,1,1,"2","5","3","3","2","1","0",50,"50","51","53","54","55","61","62","64","66","66",1,NA,NA,NA,"50",NA,"0.64","1.34","0.81","67",44,9,9,9,92,30,3,6,12,82,45,12,8,79,2,3,4,6,1.714,2.5525,87.5,100,45.84,70.83,3.66,82.99319728,1.92,51.33036283,2,2,16.66666667,50,0,0,58.33333333,66.66666667,100,66.66666667,0,66.66666667,66.66666667,100,66.66666667,33.33333333,83.33333333,75,4,6,6,5,2.865,2.8875,75,100,63.33,70,2.33,52.83446712,3.58,81.17913832,5,5,33.33333333,33.33333333,1,5,75,100,100,100,0,58.33333333,66.66666667,66.66666667,100,0,75,85.71428571
"152",815,1,1,NA,NA,NA,NA,NA,NA,NA,45,"47","48","50","51","51","57","58","62","62","64",0,"100","66.66666667","100","100","0.04",NA,"0.21","0.33","64",44,11,8,12,100,50,6,15,70,108,53,22,55,102,15,7,4,5,2.827,2.4025,62.5,87.5,91.67,93.822,3.16,71.6553288,2.561,64.261,8,15,25,25,2,2,75,100,33.33333333,100,66.66666667,66.66666667,66.66666667,100,100,0,87.5,87.5,20,20,6,6,3.2,2.965,87.5,87.5,96.67,90,3.55,80.49886621,3.05,69.16099773,15,29,16.66666667,50,9,10,75,100,66.66666667,100,33.33333333,75,100,100,100,0,85.71428571,92.85714286
"153",832,0,3,NA,NA,NA,NA,NA,NA,NA,48,"49","52","52","52","54","60","60","62","63","63",0,NA,"83.33333333","16.66666667","50","5.08","0.64","0.39","0.34","66",15,7,14,5,90,25,13,10,27,91,45,14,13,83,10,12,2,4,1.8175,1.71,62.5,50,53.33,76.67,2.05,0.464802419,4.41,0.999892032,4,10,41.66666667,50,1,4,66.66666667,33.33333333,100,100,33.33333333,50,66.66666667,66.66666667,66.66666667,0,79.16666667,79.16666667,12,13,6,6,2.045,2.24,37.5,62.5,86.67,90,3.58,81.17913832,3.58,81.17913832,13,13,58.33333333,41.66666667,9,9,75,100,100,100,0,50,100,100,0,0,91.66666667,79.16666667
"154",836,1,3,"2","5","4","4","5","0","0",48,"48","50","51","52","54","59","60","61","63","63",2,"100","100","100","100","0.84","0.38","0.73","0.03","66",27,13,11,11,112,79,13,14,50,100,47,24,50,100,13,14,5,6,3.2225,1.9825,100,100,76.67,86.67,1.17,0.265277478,3.55,0.804901749,5,2,46.151,41.66666667,9,10,55.55555556,100,50,66.66666667,0,50,66.66666667,33.33333333,66.66666667,33.33333333,79.16666667,87.5,14,14,6,6,2.95,2.6375,87.5,87.5,70,100,2.91,65.98639456,4.41,100,14,14,50,33.33333333,11,11,58.33333333,66.66666667,100,33.33333333,33.33333333,66.66666667,100,33.33333333,33.33333333,100,83.33333333,87.5
"155",840,0,1,"1","6","4","5","3","0","0",42,"43","44","46","47","48","54","55","57","58","60",2,"50","66.66666667","66.66666667","66.66666667","0.27","0.53","0.02","0.21","60",36,14,11,12,114,82,2,9,39,96,54,17,47,99,4,4,4,5,2.915,2.08,62.5,87.5,91.67,79.17,3.55,100,3.61,81.85057223,8,13,33.33333333,41.66666667,2,5,66.66666667,33.33333333,33.33333333,100,100,75,100,100,100,0,29.16666667,25,12,12,6,6,2.915,2.8875,87.5,87.5,100,96.67,3.91,88.66213152,2.78,63.03854875,12,12,50,75,4,8,58.33333333,66.66666667,66.66666667,33.33333333,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,100,100,89.28571429
"156",847,0,2,"1","5","3","3","1","1","0",49,"50","52","54","55","56","61","62","62","65","65",1,"83.33333333","66.66666667","66.66666667","83.33333333","2.1","0.22","0.59","0.33","67",17,13,9,10,103,58,11,10,27,91,47,12,8,79,10,10,2,6,0.9825,2.3525,50,62.5,60,93.33,2.19,49.65986395,3.55,80.49886621,1,5,25,33.33333333,2,3,75,100,100,100,0,75,100,100,100,0,54.16666667,87.5,10,20,6,6,1.67,2.6025,25,50,76.67,90,3.61,81.85057223,3.55,80.49017491,3,11,58.33333333,50,5,11,50,100,100,0,0,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,87.5,95.83333333
"157",852,0,2,NA,NA,NA,NA,NA,NA,NA,42,"43","45","46","47","48","53","54","54","57","57",0,NA,NA,"16.66666667","50","3.33",NA,NA,"0.9","60",15,8,9,6,85,16,25,0,2,70,15,18,50,100,10,10,2,0,2.7,1.995,87.5,50,56.67,36.67,2.13,48.29931973,2.05,46.48526077,3,10,25,8.333333333,0,1,75,100,100,100,0,83.33333333,100,100,100,33.33333333,50,66.66666667,10,11,6,6,1.93,2.865,50,37.5,50,66.67,2.72,61.67134528,2.49,56.45648888,10,11,50,33.33333333,5,7,66.66666667,100,66.66666667,66.66666667,33.33333333,50,66.66666667,33.33333333,66.66666667,33.33333333,58.33333333,58.33333333
"158",853,1,3,"2","5","3","2","1","1","0",50,"50","52","52","54","56","61","61","63","65","65",1,"50","16.66666667","33.33333333","83.33333333","1.55","2.15",NA,"1","67",15,11,6,8,87,19,2,4,5,75,47,16,19,87,4,4,2,2,1.955,2.1875,62.5,75,60,60,1.92,0.435327143,1.66,0.376376593,2,5,8.333333333,0,3,5,44.44444444,50,50,0,100,25,0,33.33333333,0,66.66666667,75,66.66666667,14,14,6,6,2.6025,2.665,75,62.5,43.33,66.67,2.83,64.1723356,2.16,48.97959184,14,14,16.66666667,33.33333333,2,8,91.66666667,66.66666667,100,100,100,8.333333333,0,0,0,33.33333333,75,75
