ID,Sex,Cohort,Ethnicity,Race,MomEduc,DadEduc,ParentEduc,ParEdCon,AgeT1,AgeT2,Enum_T1,Enum_T2,GiveNum_T1,GiveNum_T2,GiveNumCatChange,CPknow_T1,CPknow_T2,PointX_T1,PointX_T2,MagBox_T1,MBCat_T1,NumCat_T1,AnsOtsCat_T1,MagBox_T2,Num_T1,MBCat_T2,NumCat_T2,AnsOtsCat_T2,Num_WF_T1,Num_T2,Num_WF_T2,OrdCh_T1,OrdCh_T2,VerbCount_T1,VerbCount_T2,NVBCalc_T1,NVBCalc_T2,NumRec_T1,NumRec_T2,NumComp_T1,NumComp_T2,CountKnow_T1,CountKnow_T2,Area_T1,Area_T2,EF,WPPSI,PALS,TEMA,TEMA_raw,ZParentEduc,ZAgeT1,ZEF,ZNum_T1,ZNum_T2,ZMagBox_T1,ZMagBox_T2,ZGiveNum_T1,ZGiveNum_T2,ZWPPSI,ZPALS,filter_$,RMagBox_,NMagBox_,RNum_T1,NNum_T1,ZSco01,ZSco02,ZSco03,ZSco04,ZSco05,StdZ01,StdZ02,StdZ03,StdZ04,StdZ05,ZAgeT2,ZzZz01,ZzZz02,ZNumCat_T2
339,0,A,2,5,3,3,3,1,48,53,10,15,6,6,2,1,1,3.2,2.865,62.5,1,1,4,100,95.83,1,1,4,.21,100,.03,2.72,2.72,13,15,58.33,33.33,8,10,83.33,83.33,75,75,91.67,91.67,47,112,18,105,16,-.597103967412463,.648135956619129,1.15072772024457,1.67186463436711,1.43668201108984,-.265706076647501,1.52387640989284,1.41074318434123,1.04672500811617,.987086182585556,.601504645086332,0,101.5,2,11.5,1,-.597103967412463,.648135956619129,1.15072772024457,.987086182585556,.601504645086332,-.597103967412463,.648135956619129,1.15072772024457,.987086182585556,.601504645086332,.911386985607203,1.52387640989284,1.43668201108984,1.03103191993428
345,0,A,2,5,4,3,3.5,2,48,52,6,14,2,4,1,0,1,2.33,2.053,50,0,1,2,87.5,95.83,1,1,4,.18,95.83,.21,2.78,3.74,7,13,25,75,4,6,83.33,83.33,66.67,75, ,91.67,15,94,10,93,11,-.0196415778754101,.648135956619129,-1.20741381483789,1.67186463436711,1.22906732493109,-.961482726598457,.866338130535813,-.617364335791787,.0107909794651147,-.170623945132951,-.256664447062982,0,150,2,11.5,1,-.0196415778754101,.648135956619129,-1.20741381483789,-.170623945132951,-.256664447062982,-.0196415778754101,.648135956619129,-1.20741381483789,-.170623945132951,-.256664447062982,.596780090219664,.866338130535813,1.22906732493109,1.03103191993428
349,1,A,1, ,2,2,2,1,46,50,10,13,4,2,3,1,0,1.99,2.188,100,1,1,4,87.5,79.17,1,0,3,.46,50, ,1.3,3.66,5,5,58.33,16.67,1,2, ,16.67,41.67,83.33,87.5,58.33,46,83,3,85,7,-1.75202874648657,.00648135956619147,1.07703579727324,.700453550655334,-1.05270271503428,1.82162387320537,.866338130535813,.396689424274724,-1.02514304918594,-.878113467627594,-1.00756240269363,0,9,1,57,1,-1.75202874648657,.00648135956619147,1.07703579727324,-.878113467627594,-1.00756240269363,-1.75202874648657,.00648135956619147,1.07703579727324,-.878113467627594,-1.00756240269363,-.032433700555414,.866338130535813,-1.05270271503428,-.964513731551425
350,1,A,2,2,4,5,4.5,2,43,46,13,10,1,3,0,0,0, , ,62.5,1,0,3, ,62.5, ,0, ,1.18,37.5, ,1.17,.67,10,13,22.22, , ,6, ,83.33, , , ,70.83,16,98,21,78,3,1.13528320119869,-.956000536013215,-1.13372189186657,-.271540612938619,-1.6750488965653,-.265706076647501, ,-1.12439121582504,-.507176034860411,.0866449721378285,.923318054642325,1,101.5,2,102.5,2,1.13528320119869,-.956000536013215,-1.13372189186657,.0866449721378285,.923318054642325,1.13528320119869,-.956000536013215,-1.13372189186657,.0866449721378285,.923318054642325,-1.29086128210557, ,-1.6750488965653,-.964513731551425
361,0,A,2,5,4,5,4.5,2,47,51,20,20,6,6,2,1,1,3.535,3.2,75,1,0,3,87.5,62.5,1,1,4,1.51,87.5,.34,2.99,2.03,10,29,33.33,42.86,15,15,50,66.67,75,66.67,79.17,87.5,45,135,26,117,20,1.13528320119869,.32730865809266,1.00334387430191,-.271540612938619,.814335829558809,.430070573303456,.866338130535813,1.41074318434123,1.04672500811617,2.46638245689254,1.45967373723565,1,62.5,1,102.5,2,1.13528320119869,.32730865809266,1.00334387430191,2.46638245689254,1.45967373723565,1.13528320119869,.32730865809266,1.00334387430191,2.46638245689254,1.45967373723565,.282173194832125,.866338130535813,.814335829558809,1.03103191993428
365,0,A, , , , , ,0,47,51,1,6,1,1,0,0,0,2.29,2.785,75,1,0,3,62.5,41.67,0,0,1, ,54.17,3.05,.83,1.42,12,3,50,8.33,1,2, ,66.67, ,75,58.33,50,15,78,0,70,1, ,.32730865809266,-1.20741381483789,-1.48609600751943,-.845088028875524,.430070573303456,-.448738428178247,-1.12439121582504,-1.54311006351146,-1.19969961421607,-1.32937581224962,1,62.5,1,179,2, ,.32730865809266,-1.20741381483789,-1.19969961421607,-1.32937581224962, ,.32730865809266,-1.20741381483789,-1.19969961421607,-1.32937581224962,.282173194832125,-.448738428178247,-.845088028875524,-.964513731551425
368,0,A,2,3,2,3.5,2.75,1,40,44,7,10,1,1,0,0,0, ,2.115,62.5,1, , ,62.5, ,0,0,1, ,54.17,5.54,2.91,2.78,2,4,0,16.67,1,0, , ,75,66.67,43.75,75,15,98, ,85,4,-.885835162180989,-1.91848243159262,-1.20741381483789, ,-.845088028875524,-.265706076647501,-.448738428178247,-1.12439121582504,-1.54311006351146,.0866449721378285, , ,101.5,2, , ,-.885835162180989,-1.91848243159262,-1.20741381483789,.0866449721378285, ,-.885835162180989,-1.91848243159262,-1.20741381483789,.0866449721378285, ,-1.92007507288065,-.448738428178247,-.845088028875524,-.964513731551425
369,0,A, , , , , ,0,50,54,6,3,2,3,0,0,0,2.665,1.983,100,1,1,4,62.5,83.33,0,0,1,.41,70.83,.69, ,1.58,8,1, ,33.33,1,2, ,16.67,16.67,75, ,79.17,26,78,1,70,3, ,1.28979055367207,-.396802662153299,.943014781642187,-.0156250381309703,1.82162387320537,-.448738428178247,-.617364335791787,-.507176034860411,-1.19969961421607,-1.22210467573096,0,9,1,42,1, ,1.28979055367207,-.396802662153299,-1.19969961421607,-1.22210467573096, ,1.28979055367207,-.396802662153299,-1.19969961421607,-1.22210467573096,1.22599388099474,-.448738428178247,-.0156250381309703,-.964513731551425
379,0,A, , , , , ,0,42,47,7,9,3,4,1,0,1, ,1.865, , ,1, ,75,66.67,1,0,3,1.03,58.33, , ,2.41, , ,28.57, ,1, , , ,50, ,61, ,15,74,1, , , ,-1.27682783453968,-1.20741381483789,-.0283963020695855,-.637971219661998, ,.208799851178783,-.110337455758532,.0107909794651147,-1.45696853148685,-1.22210467573096, , , ,87,1, ,-1.27682783453968,-1.20741381483789,-1.45696853148685,-1.22210467573096, ,-1.27682783453968,-1.20741381483789,-1.45696853148685,-1.22210467573096,-.976254386718031,.208799851178783,-.637971219661998,-.964513731551425
380,1,A, , , , , ,0,49,53,10,13,5,3,3,1,0, ,2.353, , , , ,75, ,1,1,4, ,95.83,.01, ,2.33,9,13, ,16.67,0,2, ,0,75,75, ,25,15,92,7,88,9, ,.968963255145598,-1.20741381483789, ,1.22906732493109, ,.208799851178783,.903716304307979,-.507176034860411,-.299258403768341,-.578477856618975, , , , , , ,.968963255145598,-1.20741381483789,-.299258403768341,-.578477856618975, ,.968963255145598,-1.20741381483789,-.299258403768341,-.578477856618975,.911386985607203,.208799851178783,1.22906732493109,1.03103191993428
